,team,apponent,result,score
0,Brighton,Manchester United,looser,2 - 3
1,Manchester United,Brighton,winner,3 - 2
2,Crystal Palace,Everton,looser,1 - 2
3,Everton,Crystal Palace,winner,2 - 1
4,West Brom,Chelsea,draw,3 - 3
5,Chelsea,West Brom,draw,3 - 3
6,Burnley,Southampton,looser,0 - 1
7,Southampton,Burnley,winner,1 - 0
8,Sheffield Utd,Leeds,looser,0 - 1
9,Leeds,Sheffield Utd,winner,1 - 0
10,Tottenham,Newcastle,draw,1 - 1
11,Newcastle,Tottenham,draw,1 - 1
12,Manchester City,Leicester,looser,2 - 5
13,Leicester,Manchester City,winner,5 - 2
14,West Ham,Wolves,winner,4 - 0
15,Wolves,West Ham,looser,0 - 4
16,Fulham,Aston Villa,looser,0 - 3
17,Aston Villa,Fulham,winner,3 - 0
18,Liverpool,Arsenal,winner,3 - 1
19,Arsenal,Liverpool,looser,1 - 3
